product_id,product_name,Manufacturer,Product_group_name,Product_group_code,Товарная группа 2,model_name,current_stock
96,погрузчик JCB JCB 536-60 Agri,JCB,Погрузчики,LDR,погрузчик,LDR-JCB 536-60 Agri,1
97,погрузчик JCB JCB 560-80 AGRI,JCB,Погрузчики,LDR,погрузчик,LDR-JCB 560-80 AGRI,2
98,Борона KUHN TDH 8210-19,KUHN,Прицепное оборудование,TL,Борона,TL-TDH 8210-19,3
99,Борона KUHN TDH 8210-22,KUHN,Прицепное оборудование,TL,Борона,TL-TDH 8210-22,0
100,Борона KUHN TDH 8210-25,KUHN,Прицепное оборудование,TL,Борона,TL-TDH 8210-25,2
101,Борона KUHN TDH 8210-28,KUHN,Прицепное оборудование,TL,Борона,TL-TDH 8210-28,1
102,Борона KUHN TDH 8210-31,KUHN,Прицепное оборудование,TL,Борона,TL-TDH 8210-31,3
103,Борона KUHN TDH 8210-34,KUHN,Прицепное оборудование,TL,Борона,TL-TDH 8210-34,3
104,Борона KUHN TDH 8210-36Q,KUHN,Прицепное оборудование,TL,Борона,TL-TDH 8210-36Q,1
105,Борона KUHN TDH 8210-36Q,KUHN,Прицепное оборудование,TL,Борона,TL-TDH 8210-36Q,0
106,Борона KUHN TDH 8210-38Q,KUHN,Прицепное оборудование,TL,Борона,TL-TDH 8210-38Q,1
107,Культиватор KUHN 	DMR 4855-11,KUHN,Прицепное оборудование,TL,Культиватор,TL-	DMR 4855-11,3
108,Культиватор KUHN 	DMR 4855-13,KUHN,Прицепное оборудование,TL,Культиватор,TL-	DMR 4855-13,1
109,Культиватор KUHN DMR 4855-7,KUHN,Прицепное оборудование,TL,Культиватор,TL-DMR 4855-7,2
110,Культиватор KUHN DMR 4855-9,KUHN,Прицепное оборудование,TL,Культиватор,TL-DMR 4855-9,0
111,Культиватор KUHN 	PERFORMER 4000,KUHN,Прицепное оборудование,TL,Культиватор,TL-	PERFORMER 4000,0
112,Культиватор KUHN PERFORMER 5000,KUHN,Прицепное оборудование,TL,Культиватор,TL-PERFORMER 5000,0
113,Культиватор KUHN PERFORMER 6000,KUHN,Прицепное оборудование,TL,Культиватор,TL-PERFORMER 6000,1
114,Культиватор KUHN PERFORMER 7000,KUHN,Прицепное оборудование,TL,Культиватор,TL-PERFORMER 7000,1
115,Рыхлитель KUHN RPR 4830-630,KUHN,Прицепное оборудование,TL,Рыхлитель,TL-RPR 4830-630,2
116,Рыхлитель KUHN RPR 4830-930,KUHN,Прицепное оборудование,TL,Рыхлитель,TL-RPR 4830-930,2
